id,title,collection,volume,source_volume_url,local_text_path,original_text_link,story_dynasty,story_type_primary,story_type_secondary,female_centrality,female_perspective,female_figures,female_agency,ending_type,moral_evaluation,feminist_angles,evidence_keywords,confidence,text_char_count
lzz-v06-009,鐵布衫法,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-009/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-009/source.txt,未明,术法/道术,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,无明显女性主义切口,,低,102
lzz-v06-010,大力將軍,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-010/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-010/source.txt,未明,伦理/报应,,无,无明显女性视角,无显著女性形象,无,报应惩戒,因果报应,妻妾/婢妾与阶层|女性欲望与婚恋自主|婚姻/婚配制度|父权家族/宗法,俠,中,921
lzz-v06-011,白蓮教,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-011/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-011/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,女性欲望与婚恋自主,刃|死,低,336
lzz-v06-012,顏氏,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-012/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-012/source.txt,未明,公案/申冤,,边缘,女性经验可见,妻妾/已婚女性|婢女/侍女,低,悲剧/消散,弱评价/异闻观照,婚姻/婚配制度|妻妾/婢妾与阶层|父权家族/宗法|女性欲望与婚恋自主,死|妻|妾|婿,高,1243
lzz-v06-013,杜翁,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-013/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-013/source.txt,未明,梦幻/异境,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,父权家族/宗法|男性凝视与欲望投射,死,低,379
lzz-v06-014,小謝,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-014/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-014/source.txt,未明,鬼魂/冥府,仙神/龙女,边缘,男性凝视主导,凡间女子|妻妾/已婚女性,中,悲剧/消散,弱评价/异闻观照,婚姻/婚配制度|家庭暴力与虐待|女性欲望与婚恋自主|妻妾/婢妾与阶层,鬼|城隍|死|殉|嫁|妻|妾|婿,高,3066
lzz-v06-015,縊鬼,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-015/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-015/source.txt,未明,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,妻妾/婢妾与阶层|家庭暴力与虐待,鬼|縊|死,中,334
lzz-v06-016,吳門畫工,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-016/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-016/source.txt,未明,仙神/龙女,,边缘,男性转述/旁观,神女/仙女/龙女,低,异闻收束,弱评价/异闻观照,女性欲望与婚恋自主,神女/仙女/龙女,低,468
lzz-v06-017,林氏,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-017/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-017/source.txt,未明,仙神/龙女,,边缘,男性凝视主导,妻妾/已婚女性,中,惊悚收束,弱评价/异闻观照,婚姻/婚配制度|父权家族/宗法|女性欲望与婚恋自主|照护劳动/生育责任,嫁|妻|妾,高,1115
lzz-v06-018,胡大姑,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-018/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-018/source.txt,未明,术法/道术,,关键,男性转述/旁观,妻妾/已婚女性,低,惊悚收束,弱评价/异闻观照,婚姻/婚配制度|女性互助/代际支持|父权家族/宗法,姑|妻,中,846
lzz-v06-019,細侯,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-019/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-019/source.txt,未明,伦理/报应,,边缘,女性经验可见,妻妾/已婚女性,中,伸冤昭雪,因果报应,女性欲望与婚恋自主|父权家族/宗法|婚姻/婚配制度|家庭暴力与虐待,殺|嫁|妾,高,1097
lzz-v06-020,狼三則,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-020/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-020/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,家庭暴力与虐待|父权家族/宗法,殺|逼|死,中,585
lzz-v06-021,美人首,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-021/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-021/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,超脱成仙,弱评价/异闻观照,男性凝视与欲望投射|贞节规训,節,低,168
lzz-v06-022,劉亮采,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-022/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-022/source.txt,未明,仙神/龙女,,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,父权家族/宗法|女性欲望与婚恋自主|婚姻/婚配制度,俠,中,398
lzz-v06-023,蕙芳,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-023/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-023/source.txt,未明,仙神/龙女,,边缘,女性经验可见,妻妾/已婚女性,中,婚恋团圆,弱评价/异闻观照,婚姻/婚配制度|妻妾/婢妾与阶层|父权家族/宗法|女性欲望与婚恋自主,妻|妾,中,1163
lzz-v06-024,山神,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-024/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-024/source.txt,未明,仙神/龙女,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,无明显女性主义切口,,低,140
lzz-v06-025,蕭七,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-025/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-025/source.txt,未明,妖怪/精魅,,边缘,女性经验可见,凡间女子|妻妾/已婚女性,中,超脱成仙,弱评价/异闻观照,女性欲望与婚恋自主|父权家族/宗法|婚姻/婚配制度|家庭暴力与虐待,刃|拒|逼|妻,高,1789
lzz-v06-026,亂離二則,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-026/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-026/source.txt,未明,仙神/龙女,,边缘,男性凝视主导,妻妾/已婚女性,低,婚恋团圆,弱评价/异闻观照,婚姻/婚配制度|父权家族/宗法|女性欲望与婚恋自主|男性凝视与欲望投射,妻,中,607
lzz-v06-027,豢蛇,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-027/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-027/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,家庭暴力与虐待|父权家族/宗法,殺,低,542
lzz-v06-028,雷公,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-028/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-028/source.txt,未明,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,礼教惩戒,家庭暴力与虐待|父权家族/宗法,逃|溺,中,123
lzz-v06-029,菱角,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-029/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-029/source.txt,未明,仙神/龙女,,边缘,女性经验可见,凡间女子|妻妾/已婚女性,低,婚恋团圆,弱评价/异闻观照,婚姻/婚配制度|父权家族/宗法|妻妾/婢妾与阶层|照护劳动/生育责任,妻|婿,高,1176
lzz-v06-030,餓鬼,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-030/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-030/source.txt,未明,鬼魂/冥府,,边缘,男性转述/旁观,妻妾/已婚女性,低,悲剧/消散,弱评价/异闻观照,婚姻/婚配制度|女性欲望与婚恋自主|妻妾/婢妾与阶层|家庭暴力与虐待,鬼|死|妻|妾,高,602
lzz-v06-031,考弊司,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-031/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-031/source.txt,未明,妖怪/精魅,鬼魂/冥府,边缘,男性凝视主导,母亲/婆妪,低,异闻收束,礼教惩戒,妻妾/婢妾与阶层|婚姻/婚配制度|父权家族/宗法|男性凝视与欲望投射,嫁,中,1363
lzz-v06-032,閻羅,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-032/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-032/source.txt,未明,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,超脱成仙,弱评价/异闻观照,无明显女性主义切口,,低,71
lzz-v06-033,大人,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-033/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-033/source.txt,未明,伦理/报应,,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,家庭暴力与虐待|男性凝视与欲望投射,,低,640
lzz-v06-034,向杲,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-034/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-034/source.txt,未明,仙神/龙女,伦理/报应,无,无明显女性视角,无显著女性形象,无,超脱成仙,礼教惩戒,父权家族/宗法|妻妾/婢妾与阶层|婚姻/婚配制度|女性欲望与婚恋自主,殺|死|妾,高,736
lzz-v06-035,董公子,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-035/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-035/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,女性欲望与婚恋自主|妻妾/婢妾与阶层|婚姻/婚配制度|家庭暴力与虐待,殺,中,478
lzz-v06-036,周三,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-036/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-036/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,女性欲望与婚恋自主,,低,459
lzz-v06-037,鴿異,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-037/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-037/source.txt,魏晋南北朝,妖怪/精魅,鬼魂/冥府,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,女性欲望与婚恋自主|婚姻/婚配制度|父权家族/宗法|男性凝视与欲望投射,,中,1623
lzz-v06-038,聶政,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-038/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-038/source.txt,未明,伦理/报应,,无,无明显女性视角,无显著女性形象,无,报应惩戒,礼教惩戒,婚姻/婚配制度|家庭暴力与虐待|父权家族/宗法|男性凝视与欲望投射,殺|死|妻,中,427
lzz-v06-039,冷生,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-039/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-039/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,女性欲望与婚恋自主|婚姻/婚配制度,妻,低,509
lzz-v06-040,狐懲淫,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-040/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-040/source.txt,未明,狐魅叙事,,边缘,女性经验可见,妻妾/已婚女性,中,悲剧/消散,礼教惩戒,婚姻/婚配制度|女性欲望与婚恋自主|妻妾/婢妾与阶层|男性凝视与欲望投射,狐|妻,中,722
lzz-v06-041,山市,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-041/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-041/source.txt,秦汉,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,无明显女性主义切口,鬼,低,312
lzz-v06-042,江城,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-042/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-042/source.txt,未明,伦理/报应,仙神/龙女,边缘,女性经验可见,妻妾/已婚女性|母亲/婆妪|婢女/侍女,低,报应惩戒,因果报应,婚姻/婚配制度|父权家族/宗法|妻妾/婢妾与阶层|女性欲望与婚恋自主,妻|妾|婿,高,3582
lzz-v06-043,孫生,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-043/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-043/source.txt,未明,仙神/龙女,,边缘,男性转述/旁观,妻妾/已婚女性,中,异闻收束,弱评价/异闻观照,女性欲望与婚恋自主|婚姻/婚配制度|父权家族/宗法|家庭暴力与虐待,妻,中,1064
lzz-v06-044,八大王,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-044/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-044/source.txt,未明,妖怪/精魅,伦理/报应,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,婚姻/婚配制度|父权家族/宗法|女性欲望与婚恋自主|女性互助/代际支持,救|嫁|妻|婿,高,2217
lzz-v06-045,戲縊,聊斋志异,聊斋志异·卷6,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC06%E5%8D%B7,stories/lzz-v06-045/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v06-045/source.txt,未明,伦理/报应,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,家庭暴力与虐待,縊|自經|死,中,154
lzz-v07-001,羅祖,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-001/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-001/source.txt,未明,杂志异闻,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,父权家族/宗法|婚姻/婚配制度|家庭暴力与虐待,妻,低,604
lzz-v07-002,劉姓,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-002/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-002/source.txt,未明,妖怪/精魅,,边缘,男性转述/旁观,妻妾/已婚女性,中,婚恋团圆,弱评价/异闻观照,婚姻/婚配制度|家庭暴力与虐待|父权家族/宗法,逃|妻,中,1225
lzz-v07-003,邵女,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-003/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-003/source.txt,未明,妖怪/精魅,,关键,女性经验可见,凡间女子|妻妾/已婚女性|母亲/婆妪|婢女/侍女|巫妪/婆子,低,报应惩戒,礼教惩戒,婚姻/婚配制度|女性欲望与婚恋自主|家庭暴力与虐待|父权家族/宗法,女|嫁|妻|妾|婿,高,3966
lzz-v07-004,鞏仙,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-004/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-004/source.txt,未明,仙神/龙女,,边缘,男性凝视主导,妻妾/已婚女性,中,婚恋团圆,弱评价/异闻观照,婚姻/婚配制度|照护劳动/生育责任|父权家族/宗法|男性凝视与欲望投射,死|嫁|妻|妾,高,2336
lzz-v07-005,二商,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-005/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-005/source.txt,清,伦理/报应,,边缘,女性经验可见,妻妾/已婚女性,中,悲剧/消散,弱评价/异闻观照,父权家族/宗法|女性欲望与婚恋自主|婚姻/婚配制度|妻妾/婢妾与阶层,死|妻,中,1292
lzz-v07-006,沂水秀才,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-006/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-006/source.txt,未明,狐魅叙事,,无,无明显女性视角,无显著女性形象,无,异闻收束,礼教惩戒,妻妾/婢妾与阶层|家庭暴力与虐待|男性凝视与欲望投射,狐|逼,中,288
lzz-v07-007,梅女,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-007/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-007/source.txt,未明,伦理/报应,梦幻/异境,关键,女性经验可见,凡间女子|妻妾/已婚女性|母亲/婆妪,低,报应惩戒,因果报应,婚姻/婚配制度|父权家族/宗法|女性欲望与婚恋自主|妻妾/婢妾与阶层,女|死|妻|妾|婿,高,2478
lzz-v07-008,郭秀才,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-008/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-008/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,家庭暴力与虐待,溺,低,541
lzz-v07-009,死僧,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-009/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-009/source.txt,未明,术法/道术,,无,无明显女性视角,无显著女性形象,无,超脱成仙,弱评价/异闻观照,女性欲望与婚恋自主|妻妾/婢妾与阶层|婚姻/婚配制度|家庭暴力与虐待,殺|死,中,271
lzz-v07-010,阿英,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-010/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-010/source.txt,秦汉,妖怪/精魅,,边缘,女性经验可见,凡间女子|妻妾/已婚女性,高,悲剧/消散,弱评价/异闻观照,父权家族/宗法|婚姻/婚配制度|女性欲望与婚恋自主|女性互助/代际支持,妻|妾,高,2477
lzz-v07-011,橘樹,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-011/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-011/source.txt,未明,术法/道术,,无,无明显女性视角,无显著女性形象,无,婚恋团圆,弱评价/异闻观照,婚姻/婚配制度|男性凝视与欲望投射,,低,356
lzz-v07-012,赤字,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-012/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-012/source.txt,清,杂志异闻,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,男性凝视与欲望投射,,低,31
lzz-v07-013,牛成章,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-013/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-013/source.txt,未明,伦理/报应,,边缘,男性转述/旁观,妻妾/已婚女性|母亲/婆妪,中,婚恋团圆,弱评价/异闻观照,婚姻/婚配制度|父权家族/宗法|女性互助/代际支持|照护劳动/生育责任,救|死|嫁|妻|婿,高,690
lzz-v07-014,青娥,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-014/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-014/source.txt,魏晋南北朝,仙神/龙女,伦理/报应,边缘,女性经验可见,凡间女子|婢女/侍女,高,报应惩戒,因果报应,父权家族/宗法|婚姻/婚配制度|女性欲望与婚恋自主|男性凝视与欲望投射,嫁|婿,高,3148
lzz-v07-015,鏡聽,聊斋志异,聊斋志异·卷7,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC07%E5%8D%B7,stories/lzz-v07-015/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v07-015/source.txt,未明,伦理/报应,,边缘,女性经验可见,妻妾/已婚女性,中,报应惩戒,因果报应,婚姻/婚配制度|家庭暴力与虐待|父权家族/宗法,妻,中,378
